Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
上本　崇司,Carp,800,内野手,6,170,71,A型,右,両,広島,1990-08-22,0,0.091,59,13,11,1,0,0,6,1,0,4,1,0,0.167,0.091,0.258,0.35,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
田中　広輔,Carp,14000,内野手,5,171,85,A型,右,左,神奈川,1989-07-03,2,0.262,143,675,572,150,10,60,32,75,17,118,6,6,0.362,0.383,0.745,5.22,5.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
小窪　哲也,Carp,3300,内野手,11,175,83,O型,右,右,奈良,1985-04-12,4,0.308,17,28,26,8,0,3,0,1,1,7,0,0,0.357,0.5,0.857,6.92,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
安部　友裕,Carp,4600,内野手,11,181,81,O型,右,左,福岡,1989-06-24,6,0.236,72,252,220,52,4,24,7,21,2,60,7,1,0.306,0.377,0.683,4.22,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
堂林　翔太,Carp,1500,内野手,9,183,88,A型,右,右,愛知,1991-08-17,7,0.216,63,60,51,11,0,5,0,2,0,14,7,1,0.245,0.314,0.559,1.85,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
丸　佳浩,Carp,21000,外野手,11,177,90,AB型,右,左,千葉,1989-04-11,9,0.306,125,566,432,132,39,97,10,130,3,130,0,5,0.468,0.627,1.096,10.61,10.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岩本　貴裕,Carp,1600,外野手,10,182,96,A型,左,左,広島,1986-04-18,10,0.143,10,8,7,1,0,0,0,1,0,2,0,1,0.25,0.143,0.393,-0.5,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
福井　優也,Carp,3100,投手,8,178,85,A型,右,右,岡山,1988-02-08,11,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,0,3,0,0,0,67,15,18,5,5,0,13,14,14,1.53,6.72
九里　亜蓮,Carp,3800,投手,5,187,92,A型,右,右,鳥取,1991-09-01,12,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26,8,4,0,0,0.667,524,120.1,129,13,41,4,86,60,57,1.41,4.19
加藤　拓也,Carp,1450,投手,2,176,90,O型,右,右,東京,1994-12-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
大瀬良　大地,Carp,6300,投手,5,187,93,AB型,右,右,長崎,1991-06-17,14,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,15,7,0,0,0.682,727,182,143,22,41,4,159,65,53,1.01,3.65
今村　猛,Carp,9500,投手,9,183,105,B型,右,右,長崎,1991-04-17,16,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.17,3,2,1,13,0.6,173,38.1,37,5,21,1,35,26,22,1.51,4.63
岡田　明丈,Carp,4200,投手,3,185,92,AB型,右,左,東京,1993-10-18,17,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09,8,7,0,1,0.533,603,138,137,13,62,4,114,84,78,1.44,4.11
野村　祐輔,Carp,12000,投手,7,177,84,AB型,右,右,岡山,1989-06-24,19,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22,7,6,0,0,0.538,514,119.1,136,10,30,2,60,62,56,1.39,4.01
永川　勝浩,Carp,2000,投手,16,188,98,O型,右,右,広島,1980-12-14,20,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,2,0,0,5,1,81,18.2,19,2,5,1,13,11,10,1.29,4.08
中﨑　翔太,Carp,11500,投手,8,186,100,B型,右,右,鹿児島,1992-08-10,21,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71,4,2,32,6,0.667,293,66.1,66,7,29,1,56,23,20,1.43,4.02
中村　奨成,Carp,800,捕手,1,181,76,B型,右,右,広島,1999-06-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
薮田　和樹,Carp,4800,投手,4,188,88,B型,右,右,広島,1992-08-07,23,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74,2,1,0,0,0.667,134,26.2,28,4,32,1,18,22,17,2.25,7.43
横山　弘樹,Carp,950,投手,3,187,86,O型,右,左,宮崎,1992-03-12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
新井　貴浩,Carp,11000,内野手,20,189,102,B型,右,右,広島,1977-01-30,25,0.219,63,132,114,25,4,24,0,14,0,26,0,4,0.295,0.368,0.664,3.45,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中田　廉,Carp,3300,投手,10,189,95,AB型,右,右,大阪,1990-07-21,26,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.14,0,1,0,3,0,67,12.1,22,2,8,0,12,19,18,2.43,4.5
會澤　翼,Carp,5000,捕手,12,177,91,B型,右,右,茨城,1988-04-13,27,0.305,106,377,315,96,13,42,0,39,14,56,5,6,0.401,0.492,0.893,7.27,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
床田　寛樹,Carp,700,投手,2,181,85,A型,左,左,兵庫,1995-03-01,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ケムナ　誠,Carp,700,投手,1,192,91,B型,右,右,アメリカ,1995-06-05,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
一岡　竜司,Carp,5300,投手,7,179,86,O型,右,右,福岡,1991-01-11,30,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88,5,6,2,18,0.455,238,56.1,46,7,22,0,61,20,18,1.21,3.63
石原　慶幸,Carp,9000,捕手,17,177,90,A型,右,右,岐阜,1979-09-07,31,0.177,58,107,96,17,1,7,0,5,1,27,4,4,0.223,0.219,0.442,0.8,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
白濱　裕太,Carp,650,捕手,15,180,92,A型,右,右,大阪,1985-10-31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
菊池　涼介,Carp,19000,内野手,7,171,72,A型,右,右,東京,1990-03-11,33,0.233,139,642,557,130,13,60,10,51,3,111,30,5,0.301,0.355,0.656,3.7,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　昂也,Carp,600,投手,2,181,87,A型,左,左,埼玉,1998-09-27,34,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.43,1,2,0,0,0.333,110,21,30,5,16,0,17,23,22,2.19,6.88
下水流　昂,Carp,1000,外野手,6,178,88,A型,右,右,神奈川,1988-04-23,35,0.263,67,89,80,21,4,12,0,7,0,25,2,5,0.322,0.425,0.747,3.65,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
塹江　敦哉,Carp,650,投手,4,178,86,A型,左,左,香川,1997-02-21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
野間　峻祥,Carp,1600,外野手,4,180,83,B型,右,左,兵庫,1993-01-28,37,0.286,126,447,405,116,5,46,17,30,6,69,4,2,0.343,0.393,0.736,4.95,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
赤松　真人,Carp,2700,外野手,14,182,70,O型,右,右,京都,1982-09-06,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
飯田　哲矢,Carp,800,投手,4,182,80,A型,左,左,神奈川,1991-03-28,39,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,0,0,0,0,0,62,13,17,3,6,0,16,9,9,1.77,4.81
磯村　嘉孝,Carp,850,捕手,8,178,89,A型,右,右,愛知,1992-11-01,40,0.215,37,91,79,17,1,4,0,6,1,12,5,4,0.279,0.278,0.558,1.96,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
藤井　皓哉,Carp,600,投手,4,181,86,AB型,右,左,岡山,1996-07-29,41,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14,1,0,0,0,1,73,14.2,20,2,7,1,21,11,10,1.84,3.46
ジョンソン,Carp,34500,投手,4,193,93,不明,左,左,アメリカ,1984-10-14,42,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11,11,5,0,0,0.688,609,144.2,137,9,48,5,113,55,50,1.28,3.38
土生　翔平,Carp,550,外野手,7,180,87,O型,右,左,広島,1989-08-16,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
松山　竜平,Carp,6500,外野手,11,176,96,B型,右,左,鹿児島,1985-09-18,44,0.302,124,446,397,120,12,74,2,42,2,46,0,10,0.368,0.466,0.834,6.24,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桒原　樹,Carp,500,内野手,4,180,80,O型,右,左,静岡,1996-07-04,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　樹也,Carp,700,投手,3,176,81,A型,左,左,岩手,1997-06-21,46,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,0,0,1,1,0,102,21.1,31,4,7,1,17,16,14,1.78,4.95
山口　翔,Carp,600,投手,1,181,75,B型,右,右,熊本,1999-04-28,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
アドゥワ　誠,Carp,480,投手,2,196,83,O型,右,右,熊本,1998-10-02,48,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74,6,2,0,5,0.75,293,67.1,62,4,36,2,30,29,28,1.46,4.65
天谷　宗一郎,Carp,2200,外野手,17,178,84,O型,左,左,福井,1983-11-08,49,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
髙橋　大樹,Carp,550,外野手,6,181,86,O型,右,右,大阪,1994-05-11,50,0.333,6,16,15,5,0,0,0,1,0,4,0,1,0.375,0.4,0.775,4.71,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
鈴木　誠也,Carp,9000,外野手,6,181,96,A型,右,右,東京,1994-08-18,51,0.32,124,520,422,135,30,94,4,88,5,116,0,4,0.438,0.618,1.057,10.02,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
